combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
385,0.7275563876259249,0.7212647093783431,0.5,0.1,8,100,10
386,0.762859944726754,0.7547842624509687,0.5,0.1,8,100,50
387,0.7767079730171466,0.7654819921549982,0.5,0.1,8,100,100
388,0.8242251344685151,0.7522881255200285,0.5,0.1,10,1,10
389,0.891503967192654,0.7684535837394508,0.5,0.1,10,1,50
390,0.9317107961130427,0.7711874479971472,0.5,0.1,10,1,100
391,0.7748655314849484,0.7515749435397598,0.5,0.1,10,10,10
392,0.8082374966568602,0.7707119933436348,0.5,0.1,10,10,50
393,0.8296930254672966,0.7774872221561868,0.5,0.1,10,10,100
394,0.7273780868324864,0.7212647093783431,0.5,0.1,10,100,10
395,0.7636028646994146,0.7545465351242125,0.5,0.1,10,100,50
396,0.77751032658762,0.7647688101747295,0.5,0.1,10,100,100
397,0.7755787346587025,0.7672649471056698,0.5,1.0,3,1,10
398,0.8071082582984161,0.7751099488886247,0.5,1.0,3,1,50
399,0.8289798222935425,0.7762985855224058,0.5,1.0,3,1,100
400,0.7711806484205521,0.764174491857839,0.5,1.0,3,10,10
401,0.7964696442899171,0.7766551765125401,0.5,1.0,3,10,50
402,0.8107337077649995,0.7772494948294306,0.5,1.0,3,10,100
403,0.7598882648361118,0.7547842624509687,0.5,1.0,3,100,10
404,0.7730825235505632,0.7650065375014858,0.5,1.0,3,100,50
405,0.7730825235505632,0.7650065375014858,0.5,1.0,3,100,100
406,0.7986092538111794,0.7673838107690479,0.5,1.0,5,1,10
407,0.8710588095450358,0.7701176750267443,0.5,1.0,5,1,50
